entryDate,id,isbn,author,name,year,publisher,pages,price,remark,status
11-06-15,IT-01,-,Nathan Thomas,"Linux Programming Tutorials: Devoloping in Linux, GDB,Phreads and IPC Communication",-,-,-,,,A
11-06-15,IT-02,-,-,Red Hat Cluster Manager Installation Guide,-,Red Hat Publication,-,,,A
11-06-15,IT-03,-,-,Red Hat Linux Customization Guide,-,Red Hat Publication,-,,,A
11-06-15,IT-04,-,-,Red Hat Linux Security Guide,-,Red Hat Publication,-,,,A
11-06-15,IT-05,-,-,Red Hat Linux Reference Guide,-,Red Hat Publication,-,,,A
11-06-15,IT-06,-,-,Configuring and Managing a Cluster,-,Red Hat Publication,-,,,A
11-06-15,IT-07,-,-,Linux Network Administrators Guide,-,-,-,,,A
11-06-15,IT-08,-,"Mark Mitchell
Jeffrey Oldham
And Flex Samuel", Advanced Linux Programming,"1st
2001",Pearson Education,-,,,A
11-06-15,IT-09,-,-,Microsoft Product Support Services,-,-,-,,,A
11-06-15,IT-10,9.78813E+12,"Bill Fenner
W. Richard Stevens
Andrew M. Rudoff",Unix Network Programming The Socket Networkin API,"3rd
2009",Pearson Education,976,,,A
11-06-15,IT-11,8178087316,Maurice J. Bach,The Design of theUnix Operating System,"2nd
2003",Pearson Education,471,,,A
11-06-15,IT-12,-,-,Red Hat Enterprises Linux Essential,2007,Red Hat Publication,409,,,A
11-06-15,IT-13,-,-,Red Hat Network Services and Security Administration,2007,Red Hat Publication,359,,,A
11-06-15,IT-14,-,-,Red Hat Enterprises Linux System Administration,2007,Red Hat Publication,315,,,A
11-06-15,IT-15,9.78813E+12,Christopher Negus,Fedora9 and Red Hat Enterprise Linux Bible,2008,Willey India,1080,,,A
11-06-15,IT-16,9.78007E+12,Sumitabha Das,Unix Concepts and Applications,"4th
2008",Tata MC Graw Hill,671,,,A
11-06-15,IT-17,8131700054,"W. Richard Stevens
Stephen A. Rago",Advanced Programming in the Unix Environment,"2nd 
2007",Pearson Education,921,,,A
11-06-15,IT-18,9.78813E+12,Arnold Robbins,Linux Programming by Examples The Fundamentals,"2nd 
2008",Pearson Education,719,,,A
11-06-15,IT-19,0070499284,Paul A. Watter's,Solaris 9 Administration A Beginner's Guide,2002,Tata MC Graw Hill,612,,,A
11-06-15,IT-20,9.78818E+12,A. Ramasatish,Unix Programming,2009,Scitech Publication India,-,,,A
11-06-15,IT-21,9.78007E+12,Sumitabha Das,Unix Concepts and Applications,"4th 
2009",Tata MC Graw Hill,671,300,,A
11-06-15,IT-22,8177587455,M. G. Vankateshmurthy,Introduction to Unix and Shell Programming ,"2nd 
2007",Pearson Education,375,,,A
11-06-15,IT-23,9.78007E+12,Richard Petersen,The Complete Reference Ubuntu,2009,Tata MC Graw Hill,722,,,A
11-06-15,IT-24,812032062X,W. Richard Stevens ,Unix Network Programming Interprocess Communication,2nd,PHI India,558,195,,A
11-06-15,IT-25,8129700743,"Brian W. Kernighan
Rob Pike",The Unix Programming Environment,"2nd
2004",Pearson Education,357,,,A
11-06-15,IT-26,8120314689,Tarrence Chan,Unix System Programming Using C++,2004,PHI India,598,250,,A
11-06-15,IT-27,9.78812E+12,Andrew S. Tenenbaum,Modern Operating Systems,"3rd
2012",PHI India,1076,450,,A
11-06-15,IT-28,8177581678,H. M. Deitel,Operating Systems,"2nd
2006",Pearson Education,853,325,,A
11-06-15,IT-29,9.78813E+12,"Sibsankar Haldar
Alex A. Arvind",Operating Systems,2009,Pearson Education,577,,,A
11-06-15,IT-30,8120320638,Andrew S. Tenenbaum,Modern Operating Systems,"2nd
2004",PHI India,951,250,,A
11-06-15,IT-31,9812531769,"Peter Baer Galvin
Greg Gagne
Abraham Silberschatz",Operating Systems Principles,"7th
2006",Willey India,896,,,A
11-06-15,IT-32,,,,,,,,,A
11-06-15,IT-33,8120327969,William Stallings,"Operating Systems
Internal and Design Principles","5th
2005",PHI India,818,325,,A
11-06-15,IT-34,9.78813E+12,William Stallings,"Operating Systems
Internal and Design Principles","6th
2011",PHI India,822,,,A
11-06-15,IT-35,9.78813E+12,"Nabendu Chaki
Gary Nutt
Sarmistha Neogy",Operating Systems,"3rd 
2009",Pearson Education,806,,,A
11-06-15,IT-36,9.78813E+12,"Abraham Silberschatz
Peter B. Galvin
Greg Gagne",Operating System Concepts,"8th
2010",Willey India,972,,,A
11-06-15,IT-37,8120323068,Pramod Chandra P. Bhatt," An Introduction to Operating Systems
Concepts and Practice","2nd
2003",PHI India,297,,,A
11-06-15,IT-38,8120329554,"Andrew S. Tenenbaum
Albert S. Woodhull",Operating Systems Design and Implementation,"3rd 
2006",PHI India,1054,,,A
11-06-15,IT-39,8129706148,Garry Nutt,Operating Systems,"3rd 
2004",Pearson Education,894,,,A
11-06-15,IT-40,0070611947,D. M. Dhamdhere,"Opreting Systems
A Concept Based Approach","2nd
2006",Tata MC Graw Hill,789,-,,A
11-06-15,IT-41,0070483329,"J. Archer Harris
Schaum's Outline Series",Operating Systems,2007,Tata MC Graw Hill,234,,,A
11-06-15,IT-42,9.78813E+12,Brian L. Stuart,"Operating Systems
Principles Design and Applications",2009,Course Technology,470,,,A
11-06-15,IT-43,0070472688,"Mukesh Singhal 
Niranjan G. Shivaratri",Advanced Concepts in Operating Systems,2005,Tata MC Graw Hill,522,-,,A
11-06-15,IT-44,8131707105,"Davis 
Rajkumar","Operating Systems 
A Systematic View","6th
2007",Pearson Education,688,,,A
11-06-15,IT-45,8120312414,"Andrew S. Tenenbaum
Albert S. Woodhull","Operating Systems 
Design and Implementation","2nd
2003",PHI India,939,395,,A
11-06-15,IT-46,9.78813E+12,"Ida M. Flynn
Ann mclvermchoes",Understanding Operating Systems,"4th
2007",Thomson Course Technology,555,,,A
11-06-15,IT-47,9.78007E+12,"Archer J. Harris
Shaum's Outline Series",Operating Systems,"2nd
2008",Tata MC Graw Hill,294,,,A
11-06-15,IT-48,9.78126E+12,D. M. Dhamdhere,"Operating Systems
A Concepts Based Approach","3rd 
2009",Tata MC Graw Hill,828,,,A
11-06-15,IT-49,9.71812E+12,Pramod Chandra P. Bhatt,"An Introduction to Operating Systems
Concepts and Practice","3rd
2012",PHI India,800,375,,A
11-06-15,IT-50,9.78007E+12,"Achyut S. Godbole
Atul Kahate",Operating Systems,"3rd 
2010",Tata MC Graw Hill,665,,,A
12-06-15,IT-51,9.78007E+12,"Elmasri
Carrick
Levine","Operating Systems
A Spiral Approach",2010,Tata MC Graw Hill,526,,,A
12-06-15,IT-52,0074635514,Charle Crowley,"Operating Systems
A Design Oriented Approach",2007,Tata MC Graw Hill,844,,,A
12-06-15,IT-53,9.78007E+12,"Elmasri
Carrick
Levine","Operating Systems
A Spiral Approach",2010,Tata MC Graw Hill,526,,,A
12-06-15,IT-54,-,Garry Nutt,Operating System Solution Manual,3rd,-,-,,,A
12-06-15,IT-55,-,"James L. Peterson
Abraham Silberschatz",Operating System Concepts,2nd,Addison Westley,-,,,A
12-06-15,IT-56,-,"A. Siberschatz
G. Gagne",Operating System Concepts,7th,Addison Westley,1042,,,A
12-06-15,IT-57,-,A. S. Tenenbaum,Modern Operating Systems Problem Solution Manual,2nd,PHI India,59,,,A
12-06-15,IT-58,978-81-7758-248-2,"Brain W. Kernighan
Rob Pike",The Practice of Programming,"2010
7th Edition",Pearson Education,267,,,A
12-06-15,IT-59,81-7758-335-2,Donald E. Knuth,The Art of Computer Programming ,"2007
3rd Edition
Vol.- 2",Pearson Education,762,,,A
12-06-15,IT-60,81-7808-113-X,Donald E. Knuth,The Art of Computer Programming ,"2004
2nd Edition
Vol.-3",Pearson Education,780,,,A
12-06-15,IT-61,81-7758-754-4,Donald E. Knuth,The Art of Computer Programming ,"2007
3rd Edition
Vol-1",Pearson Education,670,,,A
12-06-15,IT-62,81-7371-606-4,"Ellis Horowitz
Sartaj Sahni
Dinesh Mehta",Funsamentals of Data Structures in C++,"2007
2nd Edition","Universities Press, India",694,,,A
12-06-15,IT-63,0-07-099130-8,Seymour Lipschutz,Theory and Problems of Data Structures,"1986
Internation Edition",McGraw Hill,344,,,A
12-06-15,IT-64,978-81-317-1812-4,Rabert Lafore,Data Structures and Algorithms in Java,"2009
2nd Edition",Pearson Education,776,,,A
12-06-15,IT-65,0-07-048461-7,Gregory L. Heilman,"Data Structures, Algorithms and Object Oriented Programming",2002,Tata MC Graw Hill,446,,,A
12-06-15,IT-66,978-81-203-0696-7,"Aaron M. Tenenbaum
Yedidyah Langsam
Mashe J. Augustein",Data Structures Using C,2007,PHI India,662,,,A
12-06-15,IT-67,81-7371-522-X,Sartaj Sahni,"Data Structures , Algorithms and Applications in C++","2007
2nd Edition","Universities Press, India",792,,,A
12-06-15,IT-68,0-07-066910-4,Brijendra Kumar Joshi,Data Structures and Algorithms in C++,2010,Tata MC Graw Hill,360,350,,A
12-06-15,IT-69,0-07-014596-2,Brijendra Kumar Joshi,Data Structures and Algorithms in C++,2010,Tata MC Graw Hill,312,,,A
12-06-15,IT-70,0-07-070198-9,Seymour Lipschutz,Data Structures with C,2011,McGraw Hill,9.56 Sections,,,A
12-06-15,IT-71,0-07-060168-2,Seymour Lipschutz,Data Structures,-,McGraw Hill,I-5 Sections,,,A
12-06-15,IT-72,81-7371-606-4,"Ellis Horowitz
Sartaj Sahni
Dinesh Mehta",Funsamentals of Data Structures in C++,"2008
2nd Edition","Universities Press, India",694,,,A
12-06-15,IT-73,81-7371-606-4,"Ellis Horowitz
Sartaj Sahni
Dinesh Mehta",Funsamentals of Data Structures in C++,"2008
2nd Edition","Universities Press, India",694,,2nd Copy of book,A
12-06-15,IT-74,81-7371-522-X,Sartaj Sahni,"Data Structures , Algorithms and Applications in C++","2007
2nd Edition","Universities Press, India",792,,2nd Copy of book,A
12-06-15,IT-75,978-81-775-8423-3,"Robert Kruse
C.L. Tondo
Bruce Leung
Shashi Mogalla",Data Structures and Program Design in C,"2009
2nd Edition",Pearson Education,605,,,A
12-06-15,IT-76,81-7371-605-6,"Ellis Horowitz
Sartaj Sahni
SusanAnderson Freed",Fundamentals of Data Structures in C,"2008
2nd Editon","Universities Press, India",617,315,,A
12-06-15,IT-77,81-7808-729-4,"Yedidah Langsam
Moshe J. Augenstein
Aaron M. Tenenbaum",Data Structures using C and C++,"2002
2nd Edition",Pearson Education,669,,,A
12-06-15,IT-78,0-13-514357-8,"Robert Kruse
C.L. Tondo
Bruce Leung",Data Structures and Algorithms in C,2nd Edition,PHI India,444,,Binded,A
12-06-15,IT-79,81-224-1638-1,"K.K. Agrawal
Yogesh Singh",Software Engineering,"2005
2nd Edition",New Age International,480,215,,A
12-06-15,IT-80,0-07-058339-0,"Harold Koontz
Heinz Weihrich",Essential of Management,"2005
6th Edition",Tata MC Graw Hill,437,,,A
12-06-15,IT-81,0-07-044575-3,W. S. Jawadikar,Management Information Systems,"2006
2nd Edition",Tata MC Graw Hill,726,,,A
12-06-15,IT-82,978-81-203-4221-7,Sanjiva Shankar Dubey,It Strategy and Management,"2010
2nd Edition",PHI India,261,250,,A
12-06-15,IT-83,0-19-510539-7,"Ali Behrooz
Fredrick J. Hudson",Software Engineering Fundamentals,2003,Oxford University Press,661,250/-,,A
12-06-15,IT-84,0-19-569-484-8,Deepak Jain,Software Engineering Principles and Practices,2009 2nd Edition,Oxford University Press,508,385,,A
12-06-15,IT-85,0-19-511153-2,"Ali Behrooz
Fredrick J. Hudson",Software Engineering Fundamentals,1997,Oxford University Press,254,,,A
12-06-15,IT-86,978-81-203-4531-7,Sanjiva Shankar Dubey,IT Services Business Management,2012,PHI India,201,250,,A
12-06-15,IT-87,935-059-101-4,D.P. Goyal,IT Project Management,2012,MacMillan,272,325,,A
12-06-15,IT-88,0-07-107274-8,"Bob Hughes
Mike Cotterell
Rajib Mall",Software Project Management,"2012
5th Edition",Tata MC Graw Hill,397,,,A
12-06-15,IT-89,9.78813E+12,"David A. Patterson
John L. Hennessy",Computer Organization and Design,"4th Edition
ARM Edition
2010",Morgan Kaufmann,689,,,A
12-06-15,IT-90,9.78813E+12,"John A. Hennessy
David A. Patterson",Computer Architecture  A Quantative Approach,"4th Edition
2007",Morgan Kaufmann,I-39,450,,A
12-06-15,IT-91,,,,,,,,,A
12-06-15,IT-92,0074604821,John H. Donovan,System Programming,1996,Tata MC Graw Hill,488,180,,A
12-06-15,IT-93,9.78007E+12,D. M. Dhamdhere,System Programming and Operating Systems,"2009 
2nd Edition Revised",Tata MC Graw Hill,658,,,A
12-06-15,IT-94,0074635794,D. M. Dhamdhere,System Programming and Operating Systems,"2006 
2nd Edition Revised",Tata MC Graw Hill,658,,,A
12-06-15,IT-95,9.78935E+12,Iresh A. Dhotre,System Programming and Operating Systems,2012,Technical Publication,-,350,,A
12-06-15,IT-96,0198070888,Srimanta Pal,System Programming,2011,Oxford University Press,728,395,,A
12-06-15,IT-97,812033051X,Santanu Chattopadhyay,System Software,2007,PHI India,195,175,,A
12-06-15,IT-98,9.78007E+12,D. M. Dhamdhere,System Programming,2011,Tata MC Graw Hill,538,,,A
12-06-15,IT-99,817758555X,"Leland L. Beck
D. Manjula","System Software
AN Introduction to System Programming",3rd,Pearson Education,495,,,A
12-06-15,IT-100,8131709418,David Galles,Modern Compiler Design,2007,Pearson Education,373,,,A
15/06/15,IT-101,8131708136,"Charles N. Fischer
Richard J. Leblenc,Jr.",Crafting A Compiler With C,2007,Pearson Education,812,,,A
15/06/15,IT-102,812030778X,Allen I. Holub,Compiler Design in C,"1990 
2nd Edition",PHI India,924,175,,A
15/06/15,IT-103,9.78938E+12,"Keith D. Cooper
Linda Torczon",Engineering A Compiler,"2011 
2nd Edition",Morgan Kaufmann,800,,,A
15/06/15,IT-104,8131708136,"Charles N. Fischer Richard J. Leblenc,Jr.",Crafting A Compiler With C,2007,Pearson Education,812,,,A
15/06/15,IT-105,812032725X,Santanu Chattopadhyay,Compiler Design in C,2006,PHI India,225,175,,A
15/06/15,IT-106,9.78033E+12,D. M. Dhamdhere,Compiler Construction,"2009
2Nd Edition",Macmillan,478,295,,A
15/06/15,IT-107,9.78813E+12,"Samir Roy
Udit Chakraborty","Introduction to Soft Computing
Neuro-Fuzzy and Genetic Algorithms",2013,Pearson Education,588,,,A
15/06/15,IT-108,8177585908,"Alfred V. Aho
Ravi Sethi
Jeffrey D. Ullman","Compilers
Principles, Techniques and Tools",2006,Pearson Education,780,-,,A
15/06/15,IT-109,8181473663,"Randy Allen
Ken Kennedy",Optimizing Compilers for Modern Architechtures,2004,Elsevier,790,,,A
15/06/15,IT-110,9.78007E+12,Naresh Jotwani,Computer System Organization,2009,Tata MC Graw Hill,350,,,A
15/06/15,IT-111,9.78007E+12,Nicholas P. Carter,"Computer Architechture
And Organization","2011
2Nd Edition",Tata MC Graw Hill,-,,,A
15/06/15,IT-112,8131207269,"John L. Hennessy
David A. Patterson","Computer Architechture
A Quantitative Approach","4th 
2004",Morgan Kaufmann,423,451,,A
15/06/15,IT-113,8181472055,"John L. Hennessy
David A. Patterson","Computer Architechture
A Quantitative Approach","3rd 
2003",Morgan Kaufmann,883,,,A
